82332 SBMN Manaus (Aeroporto) Observations at 00Z 01 Sep 2011

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1002.0     84   29.8   23.8     70  18.94    150      4  302.8  359.2  306.2
 1000.0     99   30.0   24.0     70  19.21    150      4  303.1  360.5  306.6
  988.0    208   31.2   22.2     59  17.39    127      9  305.4  357.8  308.6
  982.0    262   30.8   22.1     60  17.33    115     12  305.5  357.7  308.7
  937.0    681   27.5   20.9     67  16.93     95     13  306.3  357.4  309.4
  925.0    796   26.6   20.6     70  16.82     95     12  306.5  357.3  309.6
  877.0   1263   22.4   18.2     77  15.24     85     13  306.9  353.0  309.7
  850.0   1537   20.0   16.8     82  14.37     90     15  307.1  350.6  309.7
  811.0   1942   17.2   13.6     79  12.22    110     22  308.3  345.5  310.5
  794.0   2123   17.4    7.4     52   8.20    110     23  310.3  335.9  311.9
  751.0   2593   14.1    5.0     54   7.34    110     27  311.8  334.8  313.1
  703.0   3150   10.2    2.2     58   6.42    124     16  313.4  333.8  314.6
  700.0   3186   10.0    2.0     58   6.36    125     15  313.5  333.7  314.7
  687.0   3341    8.8    0.8     57   5.94    130     14  313.9  332.9  315.0
  672.0   3524    7.4   -0.6     57   5.48    104     12  314.3  331.9  315.3
  667.0   3585    7.0   -2.0     53   4.96     95     11  314.5  330.5  315.4
  653.0   3759    5.8   -6.1     42   3.72     70      8  315.1  327.3  315.8
  648.0   3822    5.4   -7.6     39   3.35     70      9  315.3  326.4  315.9
  615.0   4248    4.6  -19.4     16   1.35     66     12  319.1  323.9  319.4
  600.0   4448    3.2  -34.8      4   0.33     65     14  319.8  321.1  319.8
  562.0   4974   -0.7  -27.7     11   0.70     75     16  321.2  323.8  321.4
  546.0   5203   -1.5  -31.1      8   0.53     80     17  322.9  324.9  323.0
  530.0   5438   -2.4  -34.5      6   0.39    105     18  324.6  326.1  324.7
  502.0   5869   -3.9  -40.9      4   0.21    120     25  327.9  328.7  327.9
  500.0   5900   -4.3  -36.3      6   0.35    120     24  327.7  329.1  327.8
  482.0   6188   -6.2  -27.2     17   0.86     95     23  328.8  332.0  329.0
  474.0   6319   -7.1  -23.1     27   1.26     94     24  329.3  333.9  329.6
  450.0   6724   -8.3  -36.3      8   0.38     89     29  332.7  334.2  332.8
  437.0   6951   -8.9  -27.9     20   0.89     86     31  334.8  338.1  334.9
  431.0   7057   -9.7  -28.9     19   0.82     85     32  335.1  338.2  335.2
  400.0   7630  -14.1  -34.1     17   0.54     90     32  336.6  338.7  336.7
  397.0   7687  -14.5  -31.5     22   0.70     90     31  336.8  339.5  336.9
  337.0   8895  -23.8  -48.7      8   0.14     90     16  340.2  340.8  340.2
  329.0   9072  -25.2  -51.3      7   0.10     70     17  340.6  341.1  340.7
  316.0   9369  -27.5  -55.5      5   0.07     70     14  341.4  341.7  341.4
  302.0   9693  -30.5  -56.7      6   0.06     70     10  341.7  341.9  341.7
  300.0   9740  -30.9  -56.9      6   0.06     65     10  341.7  342.0  341.7
  285.0  10096  -34.2  -57.9      7   0.05     60     12  342.1  342.3  342.1
  262.0  10681  -39.5  -59.5     10   0.05     78     15  342.6  342.8  342.6
  260.0  10733  -39.8  -60.9      9   0.04     80     15  342.9  343.1  343.0
  253.0  10919  -40.7  -65.7      5   0.02    118     15  344.2  344.4  344.2
  250.0  11000  -41.5  -65.5      6   0.02    135     15  344.2  344.3  344.2
  229.0  11590  -46.0  -62.8     13   0.04    140     18  346.0  346.2  346.1
  227.0  11649  -46.5  -62.5     15   0.04    143     19  346.2  346.4  346.2
  212.0  12101  -49.9  -55.9     49   0.09    162     30  347.8  348.2  347.8
  210.0  12162  -50.4  -56.7     47   0.09    165     32  348.0  348.4  348.0
  200.0  12480  -52.7  -60.7     37   0.05    170     26  349.1  349.4  349.2
  193.0  12704  -54.4  -62.7     35   0.04    185     21  349.9  350.1  350.0
  186.0  12936  -56.2  -64.8     33   0.03    180     16  350.8  350.9  350.8
  156.0  14040  -64.8  -74.7     24   0.01    250      9  354.3  354.3  354.3
  155.0  14080  -65.1  -75.1     24   0.01    255     10  354.4  354.4  354.4
  154.0  14120  -65.1  -75.1     24   0.01    260     12  355.0  355.0  355.0
  150.0  14280  -65.3  -75.3     24   0.01    260     20  357.4  357.4  357.4
  143.0  14566  -67.8  -77.3     24   0.01    240     28  358.0  358.1  358.0
  134.0  14955  -71.1  -80.1     25   0.00    243     20  358.8  358.8  358.8
  126.0  15311  -72.6  -81.2     26   0.00    245     13  362.4  362.5  362.4
  122.0  15498  -73.4  -81.8     27   0.00    265     10  364.3  364.4  364.3
  121.0  15546  -73.6  -81.9     27   0.00    275      8  364.8  364.9  364.8
  119.0  15642  -74.0  -82.2     28   0.00    305     10  365.8  365.8  365.8
  113.0  15942  -75.3  -83.1     29   0.00    320     26  368.9  368.9  368.9
  107.0  16258  -76.6  -84.1     30   0.00    350     23  372.1  372.2  372.1
  100.0  16650  -78.3  -85.3     32   0.00      5     24  376.2  376.2  376.2
   94.0  17008  -76.3  -84.2     28   0.00     25     31  386.9  386.9  386.9
   88.0  17389  -74.1  -83.1     24   0.00      3     15  398.6  398.6  398.6
   86.0  17523  -74.6  -83.8     23   0.00    355     10  400.2  400.3  400.2
   84.0  17659  -75.1  -84.4     22   0.00    315      3  401.9  401.9  401.9
   76.4  18209  -77.1  -87.1     19   0.00     75     10  408.8  408.8  408.8
   74.0  18395  -75.0  -85.3     19   0.00    115     12  417.0  417.0  417.0
   71.0  18637  -72.2  -83.1     18   0.01     95     20  427.8  427.8  427.8
   70.0  18720  -71.3  -82.3     18   0.01     95     22  431.5  431.6  431.5
   65.0  19166  -67.7  -82.3     11   0.01    115     26  448.6  448.6  448.6
   63.0  19354  -66.2  -82.3      9   0.01    115     19  455.9  455.9  455.9
   62.0  19450  -65.5  -82.3      8   0.01    160     14  459.7  459.8  459.7
   60.0  19647  -63.9  -82.3      6   0.01    175     14  467.6  467.6  467.6
   59.3  19718  -63.3  -82.3      6   0.01    182     14  470.4  470.4  470.4
   54.0  20290  -64.2  -85.9      4   0.00    240     14  481.1  481.2  481.1
   51.0  20639  -64.7  -88.1      3   0.00    240     17  487.8  487.8  487.8
   50.0  20760  -64.9  -88.9      2   0.00    250     18  490.1  490.1  490.1
   48.6  20933  -65.7  -89.7      2   0.00    268     18  492.2  492.2  492.2
   47.0  21140  -65.0  -89.6      2   0.00    290     18  498.7  498.7  498.7
   41.0  21986  -62.0  -89.2      2   0.00    285     12  526.1  526.1  526.1
   38.0  22456  -60.3  -88.9      1   0.00    320     13  541.9  541.9  541.9
   35.0  22966  -58.5  -88.6      1   0.00    325     15  559.5  559.5  559.5
   34.0  23145  -57.8  -88.5      1   0.00    305     18  565.8  565.9  565.8
   33.5  23237  -57.5  -88.5      1   0.00                569.1  569.1  569.1
