82332 SBMN Manaus (Aeroporto) Observations at 00Z 19 Jan 2012

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0     84   24.0   22.6     92  17.61      0      2  297.1  348.3  300.3
  947.0    564   23.0   18.7     77  14.55     10      8  300.8  343.7  303.4
  925.0    770   21.8   17.6     77  13.88     15     10  301.6  342.7  304.1
  915.0    864   21.3   17.1     77  13.60     10     10  302.1  342.4  304.5
  885.0   1152   19.9   15.6     76  12.76    335     12  303.5  341.6  305.8
  850.0   1501   18.2   13.8     75  11.80    350     13  305.2  340.8  307.4
  836.0   1643   17.5   12.9     75  11.34    345     15  305.9  340.2  308.0
  802.0   1998   15.8   10.8     72  10.24    345     12  307.8  339.1  309.6
  785.0   2180   14.2   10.7     80  10.42    345     11  308.0  339.8  309.9
  774.0   2300   13.2   10.7     85  10.55    349     11  308.1  340.3  310.1
  751.0   2554   13.2    9.1     76   9.75    357     10  310.8  341.0  312.6
  714.0   2977    9.2    7.7     90   9.32     10      9  310.9  339.8  312.6
  700.0   3142    8.6    7.4     92   9.31     15      9  312.0  341.0  313.7
  685.0   3321    7.4    6.8     96   9.13     26     10  312.6  341.1  314.3
  680.0   3380    7.1    6.4     95   8.94     30     10  312.9  340.9  314.6
  592.0   4500    2.0   -1.3     79   5.91    290      4  319.6  338.9  320.7
  533.0   5348   -1.9   -7.2     67   4.22    275     10  324.6  338.9  325.5
  511.0   5688   -3.5   -9.5     63   3.66    265     11  326.7  339.2  327.4
  500.0   5860   -4.9   -9.8     69   3.65    260     12  327.0  339.6  327.7
  494.0   5954   -5.5  -10.2     70   3.59    260     12  327.4  339.8  328.1
  463.0   6458   -8.8  -12.1     77   3.28    280     13  329.4  340.8  330.1
  451.0   6662  -10.1  -12.9     80   3.16    260     11  330.2  341.3  330.8
  439.0   6872  -11.5  -13.7     84   3.04    260     13  331.0  341.7  331.6
  419.0   7227  -13.6  -16.9     76   2.44    260     17  332.8  341.5  333.3
  400.0   7580  -15.7  -20.1     69   1.95    275      9  334.5  341.6  334.9
  387.0   7829  -17.1  -22.6     63   1.63    245     11  335.8  341.8  336.1
  380.0   7966  -17.9  -23.9     59   1.47    234     11  336.5  342.0  336.8
  374.0   8084  -18.9  -24.5     61   1.41    225     11  336.8  342.1  337.1
  361.0   8344  -20.9  -25.9     65   1.29    235     10  337.4  342.3  337.7
  330.0   9006  -26.3  -29.3     76   1.03    226     11  338.8  342.8  339.1
  326.0   9095  -26.9  -32.1     61   0.80    225     11  339.2  342.4  339.4
  323.0   9161  -27.3  -34.3     51   0.65    222     10  339.6  342.1  339.7
  315.0   9341  -28.7  -34.6     57   0.65    215      6  340.0  342.6  340.1
  300.0   9690  -31.5  -35.1     70   0.65    205      7  340.9  343.4  341.0
  287.0  10000  -34.1  -36.7     77   0.58    190     10  341.4  343.7  341.6
  274.0  10323  -36.9  -38.4     86   0.51    194     16  342.0  344.0  342.1
  270.0  10424  -37.7  -39.7     81   0.45    195     18  342.3  344.1  342.4
  250.0  10950  -41.9  -46.6     60   0.23    190     17  343.6  344.6  343.7
  245.0  11086  -42.9  -50.9     41   0.15    188     15  344.1  344.8  344.2
  236.0  11335  -45.1  -52.4     43   0.13    185     10  344.6  345.1  344.6
  217.0  11892  -49.9  -55.9     49   0.09    215      8  345.4  345.9  345.5
  207.0  12198  -52.1  -56.6     58   0.09    232      7  346.7  347.1  346.7
  205.0  12261  -52.5  -57.1     57   0.08    235      7  346.9  347.3  346.9
  201.0  12388  -53.5  -58.2     56   0.07    265     13  347.4  347.8  347.5
  200.0  12420  -53.7  -58.5     56   0.07    265     13  347.6  347.9  347.6
  189.0  12777  -56.0  -64.3     35   0.04    265     22  349.5  349.6  349.5
  167.0  13559  -61.1  -77.0     11   0.01    230     26  353.5  353.6  353.5
  164.0  13674  -61.9  -78.9      9   0.00    233     26  354.1  354.1  354.1
  150.0  14220  -66.9  -80.9     12   0.00    245     24  354.6  354.7  354.6
  133.0  14910  -72.7  -84.1     16   0.00    270     19  356.8  356.8  356.8
  126.0  15221  -75.2  -85.5     19   0.00    260     17  357.7  357.7  357.7
  125.0  15266  -75.6  -85.8     19   0.00    255     17  357.8  357.8  357.8
  118.0  15597  -78.4  -87.3     23   0.00    215     26  358.6  358.7  358.7
  104.0  16322  -84.4  -90.6     33   0.00    210     34  360.3  360.3  360.3
  103.0  16377  -84.9  -90.9     34   0.00    210     33  360.4  360.4  360.4
  102.0  16431  -84.2  -90.2     35   0.00    210     30  362.8  362.8  362.8
  100.0  16540  -82.7  -88.7     35   0.00    235     18  367.7  367.7  367.7
   98.0  16654  -79.0  -85.9     32   0.00    280     17  376.9  376.9  376.9
   97.6  16677  -78.3  -85.3     32   0.00    281     17  378.8  378.8  378.8
   92.0  17010  -80.2  -87.5     29   0.00    300     11  381.6  381.6  381.6
   90.0  17134  -80.9  -88.4     28   0.00    340      8  382.6  382.6  382.6
   85.0  17456  -82.7  -90.5     25   0.00     55     11  385.2  385.3  385.2
   83.3  17570  -83.3  -91.3     24   0.00     72     11  386.2  386.2  386.2
   83.0  17590  -83.3  -91.3     24   0.00     75     11  386.6  386.6  386.6
   79.0  17865  -83.0  -91.0     25   0.00    175     12  392.7  392.7  392.7
   76.0  18081  -82.8  -90.8     25   0.00    200     20  397.5  397.6  397.5
   70.0  18540  -82.3  -90.3     25   0.00    140     21  408.0  408.0  408.0
   67.0  18785  -81.7  -89.7     25   0.00                414.4  414.4  414.4
