
    83362 SBCY Cuiaba (Aeroporto) Observations at 12Z 28 Oct 2008

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------                                                              
  990.0    187   28.0   21.0     66  16.09    340      5  302.0  349.8  304.9
  968.0    387   27.6   19.6     62  15.07    334      7  303.6  348.6  306.3
  961.0    452   28.8   18.8     55  14.42    332      7  305.4  348.8  308.0
  955.0    507   28.5   18.7     55  14.39    330      8  305.6  349.0  308.3
  925.0    791   27.0   18.0     58  14.24     45      2  306.9  350.1  309.5
  850.0   1534   21.8   12.8     57  11.04     40      4  309.0  342.9  311.0
  774.0   2332   16.5    7.5     55   8.47      5     12  311.6  338.1  313.2
  737.0   2749   13.7    4.7     55   7.33     25     15  313.0  336.1  314.4
  700.0   3188   10.8    1.8     54   6.27     30     19  314.4  334.4  315.6
  694.0   3259   10.3    1.0     53   5.97     30     20  314.6  333.8  315.8
  658.0   3701    7.2   -3.8     45   4.41     36     18  316.0  330.4  316.8
  648.0   3826    6.2    1.2     70   6.48     38     17  316.2  337.0  317.4
  634.0   4005    4.8   -3.2     56   4.79     40     16  316.6  332.2  317.5
  614.0   4266    2.4   -1.6     75   5.57     26     13  316.8  334.8  317.8
  598.0   4478    1.4   -2.5     76   5.35     15     11  317.9  335.4  319.0
  584.0   4669    0.4   -3.3     76   5.16     16     10  319.0  335.9  320.0
  566.0   4920   -0.1   -6.1     64   4.31     17      9  321.3  335.6  322.1
  500.0   5900   -7.5  -11.3     74   3.24     20      5  323.8  334.9  324.5
  489.0   6072   -8.5  -13.3     68   2.82     45      4  324.7  334.4  325.2
  467.0   6429  -10.5  -17.5     56   2.08     77      5  326.5  333.8  326.9
  463.0   6495  -10.3  -26.3     26   0.97     82      5  327.5  331.1  327.7
  455.0   6629   -9.9  -31.9     15   0.58     94      5  329.7  331.9  329.8
  432.0   7024  -12.3  -41.2      7   0.24    130      6  331.5  332.5  331.6
  400.0   7610  -15.9  -54.9      2   0.06     90     16  334.2  334.5  334.2
  392.0   7762  -16.9  -55.6      2   0.05     90     17  334.9  335.1  334.9
  375.0   8094  -19.1  -57.1      2   0.05    104     15  336.2  336.4  336.2
  357.0   8452  -22.3  -54.2      4   0.07    120     13  336.7  337.0  336.7
  334.0   8936  -26.6  -50.3      9   0.11     95     14  337.2  337.7  337.2
  314.0   9384  -30.7  -46.6     19   0.18    120     12  337.6  338.4  337.7
  309.0   9501  -31.7  -45.7     24   0.21    116     12  337.7  338.6  337.8
  303.0   9640  -32.5  -53.5     11   0.09    112     12  338.5  338.9  338.5
  300.0   9710  -32.7  -51.7     13   0.11    110     12  339.2  339.6  339.2
  273.0  10368  -37.9  -43.7     54   0.29     95     17  340.9  342.1  341.0
  271.0  10419  -38.3  -43.1     61   0.31     96     17  341.0  342.3  341.1
  250.0  10970  -42.3                         105     22  343.0         343.0
  232.0  11463  -46.3                         115     26  344.4         344.4
  204.0  12313  -53.1                         124     21  346.6         346.6
  200.0  12440  -53.9                         125     20  347.2         347.2
  179.0  13141  -59.1                         141     13  349.9         349.9
  174.0  13314  -60.7                         145     11  350.2         350.2
  155.0  14022  -67.1                         188      7  351.0         351.0
  150.0  14220  -65.3                         200      6  357.4         357.4
  139.0  14667  -67.9                         235      5  360.7         360.7
  111.0  15987  -75.5                         290     10  370.3         370.3
  100.0  16600  -79.1                         215     17  374.6         374.6
   96.0  16830  -80.1                         195     19  377.1         377.1
   90.5  17163  -81.5                         189     21  380.7         380.7
   87.0  17387  -80.1                         185     23  387.9         387.9
   79.8  17878  -76.9                                     404.1         404.1
   76.3  18135  -78.3                                     406.4         406.4
   72.7  18412  -75.1                                     418.8         418.8
